Step,cc-gpt,lc-gpt,p-gpt,gpt,p-gpt-1
500,2.2198421955108643,2.228365659713745,2.210888385772705,2.0621373653411865,3.1184957027435303
1000,1.7272790670394895,1.6824827194213867,1.6306328773498535,1.5154765844345093,2.4795103073120117
1500,1.371786117553711,1.3644015789031982,1.3369289636611938,1.275662183761597,2.2085275650024414
2000,1.22935152053833,1.225429892539978,1.2161712646484375,1.1748465299606323,1.9875729084014893
2500,1.161388874053955,1.1619669198989868,1.1536837816238403,1.117496132850647,1.9180822372436523
3000,1.1171170473098757,1.1202484369277954,1.1170377731323242,1.0769867897033691,1.9050798416137695
3500,1.0870577096939087,1.0916781425476074,1.0892564058303833,1.0534842014312744,1.8415669202804563
4000,1.0582120418548584,1.063991665840149,1.071566462516785,1.0267304182052612,1.7106270790100098
4500,1.04647696018219,1.0473134517669678,1.0485445261001587,1.016142725944519,1.6761374473571775
5000,1.0330103635787964,1.0317569971084597,1.0354201793670654,0.9960823059082032,1.649359941482544
5500,1.0209378004074097,1.01389479637146,1.0196768045425415,0.9796475768089294,1.5972017049789429
6000,1.0103009939193726,1.009565830230713,1.0108857154846191,0.9691407084465028,1.5778883695602417
6500,1.0002570152282717,0.9928106665611268,1.0038224458694458,0.9653156399726868,1.5471999645233154
7000,0.9857159852981568,0.9820407629013062,0.9869648218154908,0.9584623575210572,1.548120617866516
7500,0.9781233072280884,0.9740622639656068,0.9879297018051147,0.9429606199264526,1.5195928812026978
8000,0.9766298532485962,0.9719325304031372,0.9817271828651428,0.9419615864753724,1.5096068382263184
8500,0.967535674571991,0.9564632177352904,0.9702250361442566,0.9350486993789672,1.5096216201782229
9000,0.9631838798522948,0.9571821093559264,0.9640121459960938,0.9258840084075928,1.5026521682739258
9500,0.956182599067688,0.9540942907333374,0.9619748592376708,0.9214417338371276,1.5069206953048706
10000,0.9505181908607484,0.9431651830673218,0.9489048719406128,0.9105344414711,1.4901385307312012
